"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2012","12.9450","13.0937","13.2950","12.8977","","-1.16%"
"10/01/2012","13.0974","12.8687","13.1137","12.6585","","1.88%"
"09/01/2012","12.8563","13.2050","13.2444","12.7049","","-2.52%"
"08/01/2012","13.1889","13.3289","13.4800","13.0328","","-1.02%"
"07/01/2012","13.3245","13.2750","13.7775","13.0939","","-0.21%"
"06/01/2012","13.3526","14.3555","14.6007","13.3041","","-7.08%"
"05/01/2012","14.3696","13.0269","14.3862","12.8799","","10.44%"
"04/01/2012","13.0113","12.9429","13.2790","12.6987","","1.64%"
"03/01/2012","12.8010","12.8490","13.0488","12.5489","","-0.30%"
"02/01/2012","12.8400","13.0406","13.0730","12.6119","","-1.55%"
"01/01/2012","13.0426","13.9300","13.9893","12.8338","","-6.48%"
"12/01/2011","13.9464","13.6230","14.0433","13.4300","","2.28%"
"11/01/2011","13.6350","13.3628","14.3100","13.2750","","2.12%"
"10/01/2011","13.3515","13.8600","14.1034","12.9938","","-3.91%"
"09/01/2011","13.8950","12.3306","14.1369","12.2360","","12.64%"
"08/01/2011","12.3354","11.7163","12.7675","11.6244","","5.23%"
"07/01/2011","11.7225","11.7122","11.9573","11.5267","","0.13%"
"06/01/2011","11.7067","11.5686","12.0180","11.5456","","1.20%"
"05/01/2011","11.5677","11.4810","11.7939","11.4812","","0.62%"
"04/01/2011","11.4960","11.8909","11.9270","11.4923","","-3.43%"
"03/01/2011","11.9039","12.1125","12.2351","11.8706","","-1.68%"
"02/01/2011","12.1067","12.1246","12.2429","11.9510","","-0.08%"
"01/01/2011","12.1162","12.3431","12.3720","11.9417","","-1.95%"
"12/01/2010","12.3575","12.4859","12.5327","12.2820","","-1.08%"
"11/01/2010","12.4925","12.3428","12.5953","12.1568","","1.18%"
"10/01/2010","12.3469","12.5875","12.6257","12.2563","","-2.06%"
"09/01/2010","12.6072","13.2220","13.2400","12.4566","","-4.48%"
"08/01/2010","13.1985","12.6425","13.2740","12.4853","","4.36%"
"07/01/2010","12.6475","12.9385","13.1757","12.6062","","-2.28%"
"06/01/2010","12.9425","12.9125","13.0479","12.4086","","0.10%"
"05/01/2010","12.9300","12.2912","13.4002","12.2405","","5.08%"
"04/01/2010","12.3050","12.3707","12.4596","12.1273","","-0.59%"
"03/01/2010","12.3777","12.7647","12.7765","12.2900","","-3.10%"
"02/01/2010","12.7733","13.0740","13.2544","12.7301","","-2.49%"
"01/01/2010","13.0990","13.0858","13.1050","12.5679","","0.27%"
"12/01/2009","13.0636","12.9284","13.1447","12.4845","","0.99%"
"11/01/2009","12.9360","13.1955","13.4410","12.7811","","-2.15%"
"10/01/2009","13.2200","13.4890","13.8200","12.7946","","-2.08%"
"09/01/2009","13.5010","13.3550","13.7950","13.1382","","1.04%"
"08/01/2009","13.3623","13.1975","13.3680","12.7575","","1.43%"
"07/01/2009","13.1740","13.1810","13.8495","13.0520","","-0.10%"
"06/01/2009","13.1870","13.1120","13.7060","12.9807","","0.42%"
"05/01/2009","13.1325","13.8074","13.8675","12.8175","","-5.10%"
